,,,,Basic indicators,,,,,,PV potential indicators,,,,,Power sector indicators,,,,,
ISO_A3,Country or region,Note,"World Bank 
Region","Total population, 2018","Total area, 2018",Evaluated area,"Level 1 area 
(% of evaluated area)","Human development 
Index, 2017","Gross domestic product (USD per capita), 2018","Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term","Average economic potential (LCOE, USD/kWh), 2018","Average PV 
seasonality index, long-term","PV equivalent area (% of total area), long-term","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (Wp per capita), 2018","Access to electricity
(% of rural population), 2016","Electric power consumption (kWh per capita), 2014","Reliability of supply and transparency of tariff index, 2019","Approximate electricity 
Tariffs for SMEs 
(US cent/kWh), 2019"
HTI,Haiti,,LCR,"11,123,176","27,560","27,560",71%,0.50,868,5.54,4.68,0.09,1.15,0.007,2.6,0.2,#N/A,39,0,22.7
HUN,Hungary,,ECA,"9,768,785","90,530","90,530",88%,0.84,"15,939",3.52,3.44,0.10,3.48,0.54,665,68.1,100.0,3966,7,17.6
IDN,Indonesia,,EAP,"267,663,435","1,811,570","1,811,570",33%,0.69,"3,894",4.62,3.77,0.11,1.32,0.058,60.3,0.2,94.8,812,5.8,10.7
IMN,Isle of Man (U.K.),,Other,"84,077",570,570,84%,#N/A,"79,156",2.72,2.76,0.13,6.05,#N/A,#N/A,#N/A,100.0,#N/A,#N/A,#N/A
IND,India,,SOA,"1,352,617,328","2,973,190","2,973,190",87%,0.64,"2,016",5.10,4.32,0.07,1.75,0.196,26869.1,19.9,77.6,805,6.5,17
IRL,Ireland,,Other,"4,853,506","68,890","68,890",85%,0.94,"78,806",2.53,2.51,0.14,4.49,0.941,28.7,5.9,100.0,5672,8,19.7
IRN,Islamic Republic of Iran,,MENA,"81,800,269","1,628,760","1,628,760",73%,0.80,"5,628",5.52,4.92,0.09,1.51,0.087,286.4,3.5,100.0,3022,5,5.3
IRQ,Iraq,,MENA,"38,433,600","434,128","434,128",59%,0.69,"5,878",5.46,4.68,0.09,1.56,0.073,36.5,0.9,100.0,1328,0,9.5
ISR,Israel,,Other,"8,883,800","21,640","21,640",93%,0.90,"41,614",5.75,5.08,0.07,1.53,1.463,1070,120.4,100.0,6601,6,11.9
ITA,Italy,,Other,"60,431,283","294,140","294,140",70%,0.88,"34,318",4.07,3.99,0.07,2.36,0.917,20120,332.9,100.0,5002,7,19.3
JAM,Jamaica,,LCR,"2,934,855","10,830","10,830",41%,0.73,"5,356",5.21,4.39,0.10,1.18,0.139,55.5,18.9,96.0,1051,5,22.3
JOR,Jordan,,MENA,"9,956,011","88,780","88,780",52%,0.74,"4,248",6.02,5.32,0.08,1.41,0.109,771.5,77.5,100.0,1865,6,23.9
JPN,Japan,,Other,"126,529,100","364,560","364,560",35%,0.91,"39,287",3.61,3.45,0.17,2.05,2.339,55500,438.6,100.0,7820,8,18.6
KAZ,Kazakhstan,,ECA,"18,276,499","2,699,700","2,699,700",58%,0.80,"9,331",3.82,3.69,0.12,4.63,0.047,209,11.4,100.0,5600,8,5
KEN,Kenya,,AFR,"51,393,010","569,140","569,140",82%,0.59,"1,711",5.78,4.50,0.09,1.38,0.006,92.5,1.8,39.3,164,4,21.5
KGZ,Kyrgyz Republic,,ECA,"6,315,800","191,800","191,800",37%,0.67,"1,281",4.11,4.11,0.10,2.65,0.055,0,0.0,100.0,1941,0,2.9
KHM,Cambodia,,EAP,"16,249,798","176,520","176,520",77%,0.58,"1,512",5.09,4.13,0.10,1.36,0.012,28.4,1.7,36.5,271,3,18
KIR,Kiribati,,EAP,"115,847",810,810,66%,0.61,"1,625",6.13,4.82,0.09,1.19,#N/A,2.9,25.0,82.2,#N/A,0,39.4
KNA,Saint Kitts and Nevis,,LCR,"52,441",260,260,60%,0.78,"19,829",5.58,4.65,0.09,1.23,#N/A,1.9,36.2,100.0,#N/A,0,29.7
KOR,Republic of Korea,,EAP,"51,635,256","97,489","97,489",54%,0.90,"31,363",3.99,3.82,0.10,1.42,4.505,7861.9,152.3,100.0,10497,8,8.5
KWT,Kuwait,,MENA,"4,137,309","17,820","17,820",83%,0.80,"34,244",5.68,4.82,0.09,1.31,2.001,30.5,7.4,100.0,15591,6,0.8
LAO,Lao People's Democratic Republic,,EAP,"7,061,507","230,800","230,800",36%,0.60,"2,568",4.48,3.87,0.11,1.62,#N/A,6.7,0.9,80.3,#N/A,2,12.9
LBN,Lebanon,,MENA,"6,848,925","10,230","10,230",77%,0.76,"8,270",5.36,4.83,0.09,1.97,1.021,41.7,6.1,100.0,2588,0,13.2
LBR,Liberia,,AFR,"4,818,977","96,320","96,320",93%,0.44,674,4.88,3.88,0.11,1.41,#N/A,2.6,0.5,1.3,#N/A,0,39
LBY,Libya,,MENA,"6,678,567","1,759,540","1,759,540",16%,0.71,"7,235",6.13,5.12,0.08,1.33,0.003,5.1,0.8,96.4,1811,0,11.6
LCA,Saint Lucia,,LCR,"181,889",610,610,34%,0.75,"10,315",5.40,4.52,0.09,1.18,#N/A,3.8,20.9,98.4,#N/A,7,30.9
LIE,Liechtenstein,,Other,"37,910",160,160,36%,0.92,"165,028",3.17,3.25,0.13,3.15,#N/A,0,0.0,100.0,#N/A,#N/A,9.3
LKA,Sri Lanka,,SOA,"21,670,000","62,710","62,710",73%,0.77,"4,102",5.28,4.21,0.10,1.43,0.082,159.1,7.3,94.6,531,6,16.9
LSO,Lesotho,,AFR,"2,108,132","30,360","30,360",64%,0.52,"1,324",5.54,5.13,0.08,1.17,#N/A,0.4,0.2,15.7,#N/A,0,13.9
LTU,Lithuania,,ECA,"2,789,533","62,642","62,642",81%,0.86,"19,090",2.82,2.87,0.12,7.69,0.404,83.8,30.0,100.0,3821,8,8.3
LUX,Luxembourg,,Other,"607,728","2,430","2,430",81%,0.90,"114,340",3.02,2.95,0.12,4.39,5.684,134,220.5,100.0,13915,7,10.6
LVA,Latvia,,ECA,"1,926,542","62,180","62,180",71%,0.85,"18,089",2.77,2.85,0.13,8.80,0.302,1.2,0.6,100.0,3507,7,9.9
MAC,"Macau, SAR",,EAP,"631,636",30,30,83%,#N/A,"86,355",4.09,3.40,0.10,1.57,#N/A,0,0.0,#N/A,#N/A,#N/A,#N/A
MAR,Morocco,,MENA,"36,029,138","446,300","446,300",81%,0.67,"3,238",5.56,5.01,0.09,1.31,0.041,205.5,5.7,100.0,904,7,12.3
MDA,Moldova,,ECA,"3,545,883","32,890","32,890",96%,0.70,"3,189",3.55,3.45,0.12,3.52,0.186,2,0.6,100.0,1386,7,8.8
MDG,Madagascar,,AFR,"26,262,368","581,800","581,800",77%,0.52,461,5.63,4.76,0.09,1.31,#N/A,33,1.3,17.3,#N/A,0,15.7
MDV,Maldives,,SOA,"515,696",300,300,52%,0.72,"10,224",5.59,4.44,0.10,1.34,#N/A,9.4,18.2,100.0,#N/A,0,44.9
MEX,Mexico,,LCR,"126,190,788","1,943,950","1,943,950",69%,0.77,"9,698",5.73,4.92,0.09,1.33,0.068,2541,20.1,100.0,2157,7,11.5
MHL,Marshall Islands,,EAP,"58,413",180,180,19%,#N/A,"3,621",5.37,4.24,0.10,1.20,#N/A,#N/A,#N/A,89.1,#N/A,0,39.1
MKD,North Macedonia,,ECA,"2,082,958","25,220","25,220",68%,0.76,"6,084",4.05,3.88,0.11,2.47,0.264,20.6,9.9,100.0,3497,5,12.8
MLI,Mali,,AFR,"19,077,690","1,220,190","1,220,190",40%,0.43,901,6.02,4.68,0.09,1.24,#N/A,19.6,1.0,1.8,#N/A,0,13.6
MLT,Malta,,MENA,"483,530",320,320,69%,0.88,"30,075",5.01,4.56,0.09,2.03,4.866,127.3,263.3,100.0,4925,5,17
MMR,Myanmar,,EAP,"53,708,395","653,080","653,080",52%,0.58,"1,326",4.69,4.14,0.10,1.83,0.01,54.9,1.0,39.8,215,1,8.3
MNE,Montenegro,,ECA,"622,345","13,450","13,450",61%,0.81,"8,761",3.86,3.82,0.11,2.32,0.208,3.4,5.5,100.0,4612,5,13.3
MNG,Mongolia,,EAP,"3,170,208","1,553,560","1,553,560",49%,0.74,"4,104",4.32,4.76,0.09,1.86,0.004,62.7,19.8,44.2,2006,3,5.9
MNP,Northern Mariana Islands (U.S.),,Other,"56,882",460,460,27%,#N/A,"28,164",5.56,4.65,0.09,1.32,#N/A,0,0.0,100.0,#N/A,#N/A,#N/A
MOZ,Mozambique,,AFR,"29,495,962","786,380","786,380",85%,0.44,490,5.38,4.44,0.10,1.23,0.009,17,0.6,5.0,479,4,10.4
MRT,Mauritania,,AFR,"4,403,319","1,030,700","1,030,700",25%,0.52,"1,219",6.04,4.75,0.09,1.20,#N/A,86.1,19.6,2.3,#N/A,2,17.7
MUS,Mauritius,,AFR,"1,265,303","2,030","2,030",76%,0.79,"11,239",5.01,4.21,0.10,1.36,0.681,30,23.7,100.0,2183,6,19.6
MWI,Malawi,,AFR,"18,143,315","94,280","94,280",93%,0.48,389,5.59,4.60,0.09,1.38,#N/A,22.7,1.3,4.0,#N/A,0,11.5
MYS,Malaysia,,EAP,"31,528,585","328,550","328,550",26%,0.80,"11,239",4.71,3.74,0.11,1.32,0.215,437.8,13.9,100.0,4652,8,11.6
NAM,Namibia,,AFR,"2,448,255","823,290","823,290",73%,0.65,"5,931",6.40,5.38,0.08,1.17,0.002,78.8,32.2,28.7,1653,6,13.5
NCL,New Caledonia (Fr.),,Other,"284,060","18,280","18,280",46%,#N/A,#N/A,4.57,3.98,0.11,1.37,#N/A,32.8,115.5,100.0,#N/A,#N/A,#N/A
NER,Niger,,AFR,"22,442,948","1,266,700","1,266,700",30%,0.35,412,6.26,4.84,0.09,1.24,0,20,0.9,4.7,51,0,19.3
NGA,Nigeria,,AFR,"195,874,740","910,770","910,770",97%,0.53,"2,028",5.44,4.30,0.10,1.40,0.014,19.1,0.1,41.1,145,0,13.6
NIC,Nicaragua,,LCR,"6,465,513","120,340","120,340",69%,0.66,"2,029",5.04,4.11,0.10,1.36,0.015,30.3,4.7,56.6,568,4,33.7
NLD,Netherlands,,Other,"17,231,017","33,690","33,690",82%,0.93,"53,024",2.86,2.86,0.12,4.33,6.646,4150,240.8,100.0,6713,8,10.6
NOR,Norway,up to parallel 60°N,Other,"5,314,336","365,123","54,569",55%,0.95,"81,807",2.58,2.76,0.13,14.97,4.282,68.4,12.9,100.0,23000,8,10
NPL,Nepal,,SOA,"28,087,871","143,350","143,350",28%,0.57,"1,026",4.53,4.00,0.11,1.59,0.019,53.3,1.9,85.2,146,0,11.4
