Report generated on: 02-25-2022 09:56:48
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-3-SCG-BKWH.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","1.55","0","0","0","0","0.037","0.2","3.222","4.4","3.6","4.713","4.576","5.975","6.751","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-3-SUN-BKWH.A","        Former U.S.S.R.","0.3","0.3","0.3","0.3","0.3","1.9","1.6","1.2","1","1","1","0.07","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-3-YUG-BKWH.A","        Former Yugoslavia","1.304","2.45","3.199","2.681","2.751","2.663","2.644","2.583","1.147","2.188","2.749","2.05","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-3-FRA-BKWH.A","        France","15.639","10.939","9.452","7.327","5.424","5.52","7.907","8.852","7.716","8.105","6.674","5.516","4.455","3.663","3.725","2.86","3.617","4.24","4.59","4.965","3.695","4.5","3.705","6.959","6.571","8.062","8.522","10.782","10.748","18.517","19.475","9.501","12.213","11.687","7.873","9.961","19.903","21.11918","13.512","15.632","19.613"
"INTL.2-3-GUF-BKWH.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-PYF-BKWH.A","        French Polynesia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-GAB-BKWH.A","        Gabon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.184","0.388","0.337","0.348","0.456","0.511","0.511","NA"
"INTL.2-3-GMB-BKWH.A","        Gambia, The","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-GEO-BKWH.A","        Georgia","--","--","--","--","--","--","--","--","--","--","--","--","1.5","1.05","1.1","0.95","0.4","0.653","0.72","0.44","0.45","0.8","0.605","1.071","1.281","1.468","0.756","0.43","0.558","0.255","0.232","0.477","0.615","0.484","0.853","0.699","1.329","1.751","1.522","1.763","1.712"
"INTL.2-3-DEU-BKWH.A","        Germany","--","--","--","--","--","--","--","--","--","--","--","30.416","28.25","33.628","35.92","39.735","37.404","38.02","38.315","40.598","45.134","45.779","48.37","49.107","48.187","56.861","48.464","45.953","41.67","41.859","42.962","51.003","46.268","39.222","40.435","37.008","28.338","27.842","31.727","40.126","48.047"
"INTL.2-3-DDR-BKWH.A","        Germany, East","4.15","4.16","4.292","4.605","4.208","3.836","4.872","7.451","5.759","5.874","5.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-3-DEUW-BKWH.A","        Germany, West","19.221","21.927","20.214","23.687","19.49","18.83","20.785","22.177","22.706","21.491","25.289","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-3-GHA-BKWH.A","        Ghana","0","0","0","0","0","0","0","0","0","0","0.004","0.003","0.004","0.004","0","0.06","0.065","0.065","0.9","0.4","0.6","0.45","1.046","0.945","0.878","0.815","0.629","0.435","0.275","0.198","0.106","0.081","0.128","0.027","0.051","0.223","0.745","0.32","0.14","0.127","0.058"
"INTL.2-3-GIB-BKWH.A","        Gibraltar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
"INTL.2-3-GRC-BKWH.A","        Greece","0.654","0.398","0.771","1.915","2.591","0.948","1.584","0.977","0.7","1.028","1.33","1.498","0.967","1.093","0.82","1.4","2.66","3.01","2.5","1.811","1.729","3.562","4.602","4.169","4.854","5.616","6.14","6.412","7.575","7.601","8.517","7.18","5.954","5.788","9.461","11.081","9.833","8.696","8.55","11.06664","9.831"
"INTL.2-3-GRL-BKWH.A","        Greenland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-GRD-BKWH.A","        Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-GLP-BKWH.A","        Guadeloupe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-3-GUM-BKWH.A","        Guam","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
