Report generated on: 02-25-2022 09:57:07
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"INTL.2-4-ETH-BKWH.A","        Ethiopia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.332","0.563","0.642","0.761","0.7","1.303","1.432","1.47","1","NA"
"INTL.2-4-FLK-BKWH.A","        Falkland Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-FRO-BKWH.A","        Faroe Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-FJI-BKWH.A","        Fiji","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.2-4-FIN-BKWH.A","        Finland","1.163","0.526","1.738","0.681","0.422","0.941","0.492","0.507","0.409","0.469","0.36","0.641","0.673","0.429","0.625","0.279","1.706","0.45","0.276","0.232","0.326","1.81","1.539","7.03","6.797","0.933","2.717","2.862","3.335","3.375","5.218","3.804","1.645","1.876","3.655","5.122","3.159","1.779","2.612","3.896","6.666"
"INTL.2-4-CSK-BKWH.A","        Former Czechoslovakia","1.7","1.12","1.29","1.39","1.83","2.537","2.283","2.219","2.95","4.636","3.117","1.678","9.192","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-SCG-BKWH.A","        Former Serbia and Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","0.4","0.1","0","0","0.156","0.009","0.268","1.44","0.446","0.45","1.1","1.786","6.248","8.694","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-SUN-BKWH.A","        Former U.S.S.R.","18.799","20.808","21.419","23.205","24.101","30.699","30.434","35.067","38.579","37.902","34.198","19.406","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-YUG-BKWH.A","        Former Yugoslavia","1.713","1.073","1.243","1.626","3.881","2.036","2.178","2.208","2.559","2.596","3.108","6.475","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"INTL.2-4-FRA-BKWH.A","        France","12.394","15.597","13.121","20.555","29.993","28.658","33.134","38.293","44.425","49.974","52.112","58.409","58.533","65.093","66.85","72.701","72.428","69.634","62.152","68.108","73.174","72.861","80.739","73.373","68.477","68.39","71.863","67.595","58.736","44.451","50.188","65.914","56.734","60.148","75.063","74.024","61.404","61.248","76.479","73.299","64.425"
"INTL.2-4-GUF-BKWH.A","        French Guiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA"
