Report generated on: 02-24-2022 17:30:36
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"INTL.13-2-BOL-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","3","5.8","5.4","4.6","5.6","5.7","6","6.4","6.9","7.1","7.9","9.2","9.8","9.3","8.6","8.6","9.2","9.5","10","11","11","11","13","11","12","11","12","NA","NA"
"INTL.6899-2-BOL-TBPD.A","            LPG (Mb/d)","3.250670705","4.2","4.8","4.5","4.5","4.6","3","5.8","5.4","4.6","5.6","5.7","6","6.4","6.9","7.1","7.9","9.2","9.8","9.3","8.6","8.6","9.2","9.5","10","11","11","11","13","11","12","11","12","NA","NA"
"INTL.8499-2-BOL-TBPD.A","            Ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BIH-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","2.4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.9","0.9","2.5","2.5","2.5","NA","NA"
"INTL.6899-2-BIH-TBPD.A","            LPG (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","2.4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0.9","0.9","0.9","2.5","2.5","2.5","NA","NA"
"INTL.8499-2-BIH-TBPD.A","            Ethane (Mb/d)","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA"
"","Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.13-2-BWA-TBPD.A","        Liquefied petroleum gases and ethane (Mb/d)","NA","NA","NA","NA","NA","NA","0.1","0","0.0421","0.2","0.4","0.5","0.6","0.5","0.5","0.5","0.5","0.3","0.5","0.5","0.9","1","1","1","0.9","1","1","1","1","1","1","1","1","NA","NA"
